0, 2, 3, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 2, 1, 3, 182
0, 0, 3, 0, 3, 0, 0, 2, 0, 0, 0, 0, 2, 2, 1, 3, 163
0, 2, 3, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 2, 3, 3, 100
0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 3, 2, 0, 0, 0, 1, 98
0, 0, 3, 0, 3, 0, 0, 2, 0, 0, 0, 0, 2, 3, 1, 3, 81
0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 3, 57
0, 3, 3, 0, 3, 0, 0, 0, 0, 2, 3, 2, 2, 2, 1, 3, 29
2, 0, 3, 0, 3, 0, 0, 2, 2, 0, 2, 0, 1, 2, 2, 3, 26
2, 0, 3, 0, 3, 0, 2, 2, 2, 0, 2, 3, 1, 2, 0, 3, 26
0, 0, 3, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 2, 1, 3, 23
0, 0, 3, 0, 3, 0, 0, 2, 0, 2, 3, 0, 2, 3, 1, 3, 22
0, 2, 3, 0, 3, 0, 0, 2, 0, 1, 0, 0, 2, 1, 1, 3, 21
0, 2, 3, 0, 3, 0, 1, 2, 0, 3, 0, 0, 1, 2, 1, 3, 21
2, 0, 3, 0, 3, 0, 2, 2, 2, 0, 2, 0, 1, 2, 0, 3, 19
1, 2, 3, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 2, 3, 3, 15
2, 0, 3, 0, 3, 0, 3, 2, 2, 0, 2, 2, 1, 2, 0, 3, 14
2, 0, 3, 0, 3, 0, 2, 2, 2, 0, 2, 2, 1, 2, 0, 3, 14
2, 0, 3, 0, 1, 0, 1, 2, 2, 0, 0, 0, 2, 2, 0, 3, 12
2, 0, 3, 0, 3, 0, 2, 2, 2, 0, 2, 3, 1, 2, 0, 1, 12
0, 2, 3, 0, 3, 0, 1, 2, 0, 3, 0, 0, 2, 2, 1, 3, 8
1, 0, 3, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 2, 1, 3, 7
3, 0, 3, 0, 3, 0, 2, 2, 2, 0, 2, 3, 1, 2, 0, 3, 6
0, 2, 3, 0, 3, 0, 0, 2, 0, 0, 0, 0, 2, 1, 1, 3, 6
0, 2, 3, 0, 2, 0, 1, 2, 0, 0, 0, 0, 2, 2, 1, 3, 5
0, 3, 1, 0, 3, 0, 0, 0, 0, 2, 3, 2, 2, 2, 1, 3, 5
0, 2, 3, 1, 3, 0, 1, 2, 0, 0, 0, 0, 2, 2, 3, 3, 5
0, 2, 3, 0, 3, 2, 1, 2, 0, 0, 0, 0, 2, 2, 1, 3, 5
0, 2, 3, 0, 3, 0, 0, 2, 0, 0, 0, 0, 2, 3, 1, 3, 5
0, 2, 3, 0, 3, 0, 1, 2, 0, 0, 1, 0, 2, 2, 1, 3, 4
0, 0, 3, 0, 3, 0, 0, 2, 0, 0, 1, 0, 2, 2, 1, 3, 4
2, 0, 3, 0, 3, 3, 2, 2, 2, 0, 2, 3, 1, 2, 0, 3, 4
3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 3, 4
0, 2, 3, 0, 3, 0, 3, 2, 0, 0, 1, 0, 2, 2, 1, 3, 3
0, 2, 3, 0, 3, 0, 1, 2, 0, 1, 0, 0, 2, 2, 3, 3, 3
0, 0, 3, 0, 1, 0, 0, 2, 0, 0, 1, 0, 2, 2, 1, 3, 2
1, 2, 3, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 2, 1, 3, 2
0, 0, 3, 0, 1, 0, 0, 2, 0, 2, 3, 0, 2, 3, 1, 3, 1
0, 0, 3, 0, 3, 0, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1
0, 3, 3, 0, 3, 0, 0, 0, 0, 2, 1, 2, 2, 2, 1, 3, 1
0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 1
2, 0, 3, 0, 3, 0, 1, 2, 2, 0, 2, 0, 1, 2, 2, 3, 1
0, 0, 3, 0, 3, 0, 0, 2, 0, 0, 0, 2, 2, 2, 1, 3, 1
0, 2, 3, 0, 3, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 3, 1
0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 3, 2, 0, 0, 1, 1, 1
0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 3, 1
0, 0, 3, 0, 3, 0, 0, 2, 0, 1, 3, 0, 2, 3, 1, 3, 1
0, 0, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 3, 1
