3, 1, 1, 1, 67
1, 3, 2, 2, 38
1, 3, 0, 3, 36
3, 1, 3, 0, 36
2, 2, 3, 2, 32
0, 1, 0, 1, 28
1, 0, 3, 1, 28
3, 1, 3, 2, 27
3, 3, 1, 1, 26
0, 0, 1, 0, 24
3, 2, 2, 3, 21
1, 1, 3, 2, 21
0, 0, 3, 2, 21
3, 2, 0, 0, 21
3, 0, 3, 0, 21
1, 2, 0, 0, 16
3, 1, 2, 2, 16
3, 3, 3, 0, 16
2, 1, 1, 1, 15
3, 3, 1, 0, 15
3, 2, 2, 1, 15
1, 1, 1, 1, 14
2, 0, 1, 3, 14
2, 3, 0, 0, 13
2, 3, 1, 2, 13
1, 3, 3, 2, 13
3, 3, 0, 1, 13
2, 0, 1, 0, 12
2, 0, 3, 0, 12
2, 0, 0, 0, 12
0, 0, 1, 2, 11
0, 3, 0, 1, 11
0, 2, 2, 3, 10
3, 1, 0, 1, 10
1, 0, 1, 3, 9
0, 2, 0, 1, 9
3, 2, 0, 3, 9
2, 1, 2, 2, 9
2, 2, 2, 3, 8
3, 3, 3, 2, 8
0, 3, 3, 2, 8
0, 3, 2, 2, 7
0, 1, 3, 2, 7
0, 2, 3, 2, 7
3, 1, 3, 1, 7
1, 0, 3, 0, 7
1, 0, 3, 2, 7
3, 3, 0, 0, 7
3, 2, 3, 0, 7
0, 1, 2, 2, 6
2, 3, 3, 2, 6
2, 3, 3, 0, 6
3, 3, 2, 3, 6
1, 0, 0, 3, 6
1, 0, 2, 3, 6
3, 2, 0, 1, 6
3, 3, 3, 1, 6
1, 2, 0, 1, 6
2, 1, 3, 2, 5
0, 3, 1, 2, 5
3, 3, 0, 3, 5
3, 3, 2, 2, 4
0, 1, 1, 0, 4
2, 3, 2, 3, 4
0, 1, 1, 2, 4
2, 0, 1, 1, 4
2, 1, 0, 0, 4
2, 0, 1, 2, 4
0, 1, 1, 1, 4
2, 1, 0, 1, 4
3, 2, 3, 2, 4
1, 2, 2, 1, 3
3, 3, 1, 3, 3
3, 2, 3, 1, 3
1, 0, 2, 2, 3
0, 0, 3, 0, 3
2, 0, 3, 1, 3
1, 2, 2, 3, 3
0, 1, 2, 1, 3
3, 1, 3, 3, 3
3, 1, 0, 0, 2
3, 3, 1, 2, 2
1, 2, 1, 1, 2
3, 0, 0, 0, 2
3, 3, 3, 3, 2
1, 3, 1, 1, 2
0, 1, 0, 3, 2
3, 0, 3, 2, 2
3, 2, 2, 0, 2
3, 1, 1, 3, 2
1, 0, 0, 1, 2
2, 3, 1, 1, 2
3, 0, 1, 3, 2
2, 2, 0, 1, 2
3, 1, 0, 2, 2
0, 0, 1, 3, 2
0, 3, 2, 1, 2
2, 2, 3, 0, 2
3, 2, 1, 1, 2
2, 3, 0, 3, 2
1, 3, 3, 1, 1
2, 0, 0, 3, 1
1, 2, 3, 2, 1
3, 3, 0, 2, 1
0, 0, 3, 3, 1
1, 2, 3, 1, 1
1, 3, 0, 1, 1
1, 1, 2, 2, 1
2, 2, 2, 0, 1
2, 1, 2, 3, 1
1, 3, 2, 1, 1
0, 3, 3, 1, 1
3, 2, 1, 2, 1
3, 1, 2, 0, 1
0, 0, 2, 1, 1
3, 0, 1, 1, 1
0, 0, 1, 1, 1
3, 3, 2, 0, 1
0, 2, 0, 3, 1
1, 3, 3, 3, 1
1, 3, 3, 0, 1
1, 1, 2, 3, 1
2, 1, 3, 0, 1
2, 1, 2, 0, 1
1, 0, 0, 0, 1
3, 0, 1, 0, 1
0, 0, 0, 2, 1
3, 2, 3, 3, 1
0, 2, 1, 0, 1
2, 3, 2, 1, 1
3, 2, 2, 2, 1
1, 3, 2, 0, 1
3, 1, 1, 2, 1
3, 1, 1, 0, 1
