2, 0, 1, 0, 243
0, 1, 3, 1, 169
3, 1, 3, 0, 92
3, 3, 1, 0, 75
3, 1, 3, 2, 74
0, 2, 1, 0, 54
2, 0, 2, 0, 51
3, 0, 1, 0, 36
3, 2, 1, 0, 33
2, 0, 0, 3, 28
0, 1, 2, 1, 21
0, 3, 3, 0, 14
0, 1, 3, 3, 14
3, 1, 1, 0, 13
2, 1, 3, 1, 12
2, 0, 2, 2, 11
3, 1, 3, 1, 10
0, 2, 2, 1, 9
0, 1, 3, 0, 8
0, 0, 2, 0, 8
1, 0, 1, 0, 7
2, 3, 2, 0, 7
0, 0, 3, 1, 7
2, 0, 2, 3, 5
2, 0, 1, 3, 5
2, 0, 1, 2, 5
2, 0, 3, 0, 2
3, 1, 0, 0, 2
0, 1, 3, 2, 2
3, 0, 1, 2, 1
1, 1, 3, 2, 1
0, 0, 1, 0, 1
2, 3, 1, 0, 1
3, 0, 3, 0, 1
2, 1, 2, 1, 1
1, 3, 3, 0, 1
