0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 366
0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124
0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 95
0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 95
0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 44
0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 34
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 19
0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 13
0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 5
0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 2
0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1
